,index,Unnamed: 0,Headline,Subheader,Section,Date,URL,Category
0,1143,38,BEVARE! BEVARE! IT'S LUGOSI,Fake case studies of transsexual and transvestite.,Movies,1981-05-22,/1981/05/22/movies/bevare-bevare-it-s-lugosi.html?searchResultPosition=148,Arts
1,1109,4,TRANSSEXUAL CONVICT WINS,,U.S.,1983-04-16,/1983/04/16/us/transsexual-convict-wins.html?searchResultPosition=6,US New
2,1113,8,Transsexual Sues for Old Job,,U.S.,1983-09-27,/1983/09/27/us/transsexual-sues-for-old-job.html?searchResultPosition=10,US New
3,1110,5,AROUND THE NATION; Transsexual's Marriage Challenged in Texas,,U.S.,1983-10-11,/1983/10/11/us/around-the-nation-transsexual-s-marriage-challenged-in-texas.html?searchResultPosition=7,US New
4,1118,13,JUDGE TELLS EASTERN AIRLINES TO REHIRE TRANSSEXUAL PILOT,,U.S.,1983-12-29,/1983/12/29/us/judge-tells-eastern-airlines-to-rehire-transsexual-pilot.html?searchResultPosition=21,US New
5,1108,3,Transsexual Loses Election,,New York,1985-07-09,/1985/07/09/nyregion/transsexual-loses-election.html?searchResultPosition=5,US New
6,1112,7,TRANSSEXUAL PLANS FUTURE IN LEGION,"THE American Legion has not seen the last of its well-publicized transsexual, Bridgette Poi.",Connecticut,1985-07-14,/1985/07/14/nyregion/transsexual-plans-future-in-legion.html?searchResultPosition=9,US New
7,1107,2,HARRY BENJAMIN DIES AT 101; SPECIALIST IN TRANSSEXUALISM,,Obituaries,1986-08-27,/1986/08/27/obituaries/harry-benjamin-dies-at-101-specialist-in-transsexualism.html?searchResultPosition=4,Life
8,1142,37,'Garments the Living Wear',"In this transvestite-transsexual comedy of gay mannerism, a drawing room extravaganza collides with a riff on the Southern gospel tradition.",Books,1989-10-29,/1989/10/29/books/garments-the-living-wear.html?searchResultPosition=142,Arts
9,1146,41,Dragtime,"VESTED INTERESTS

Cross-Dressing & Cultural Anxiety.
By Marjorie Garber.
Illustrated. 443 pp. New York: Routledge. $35.",Book Review,1991-12-15,/1991/12/15/books/dragtime.html?searchResultPosition=242,Arts
10,1147,42,Books of The Times; Why Transvestites Make Other People Nervous,,Books,1992-01-24,/1992/01/24/books/books-of-the-times-why-transvestites-make-other-people-nervous.html?searchResultPosition=249,Arts
11,1145,40,THEATER REVIEW;A Transvestite's Life In a One-Person Show,,Theater,1994-07-01,/1994/07/01/theater/theater-review-a-transvestite-s-life-in-a-one-person-show.html?searchResultPosition=217,Arts
12,1140,35,FILM; Selling a Transvestite Musical Set in the Outback,,Movies,1994-08-07,/1994/08/07/movies/film-selling-a-transvestite-musical-set-in-the-outback.html?searchResultPosition=121,Arts
13,1607,2,"NEIGHBORHOOD REPORT: MIDTOWN;
The Perilous Times of Transgender Youth",His mother wouldn't recognize him if they passed each another on the street.,The City,1995-06-18,/1995/06/18/nyregion/neighborhood-report-midtown-the-perilous-times-of-transgender-youth.html?searchResultPosition=3,Misc
14,1129,24,"NEIGHBORHOOD REPORT: MIDTOWN;
The Perilous Times of Transgender Youth",His mother wouldn't recognize him if they passed each another on the street.,The City,1995-06-18,/1995/06/18/nyregion/neighborhood-report-midtown-the-perilous-times-of-transgender-youth.html?searchResultPosition=59,Misc
15,1111,6,NEW JERSEY DAILY BRIEFING; Transsexual Indicted in Murder,,New York,1995-06-22,/1995/06/22/nyregion/new-jersey-daily-briefing-transsexual-indicted-in-murder.html?searchResultPosition=8,US New
16,1614,9,Transgender Community Must Cope With Bigotry,,New York,1995-07-30,/1995/07/30/nyregion/l-transgender-community-must-cope-with-bigotry-260095.html?searchResultPosition=10,US New
17,1613,8,Transgender Community Must Cope With Bigotry,,New York,1995-07-30,/1995/07/30/nyregion/l-transgender-community-must-cope-with-bigotry-250495.html?searchResultPosition=9,US New
18,1630,25,NEIGHBORHOOD REPORT: MIDTOWN;Transsexuals' Dual Risk of AIDS,,New York,1996-04-14,/1996/04/14/nyregion/neighborhood-report-midtown-transsexuals-dual-risk-of-aids.html?searchResultPosition=70,US New
19,1150,45,Separating Gay and 'Transgender' Issues,Stephen H Miller comments on Sept 8 article on campaign by transsexuals for respect (S),Opinion,1996-09-11,/1996/09/11/opinion/l-separating-gay-and-transgender-issues-283185.html?searchResultPosition=416,Life
20,1611,6,Separating Gay and 'Transgender' Issues,Christopher Ott letter disputes Sept 8 article on campaign by transsexuals for respect (S),Opinion,1996-09-11,/1996/09/11/opinion/l-separating-gay-and-transgender-issues-283193.html?searchResultPosition=7,Life
21,1612,7,Separating Gay and 'Transgender' Issues,Stephen H Miller comments on Sept 8 article on campaign by transsexuals for respect (S),Opinion,1996-09-11,/1996/09/11/opinion/l-separating-gay-and-transgender-issues-283185.html?searchResultPosition=8,Life
22,1153,48,Separating Gay and 'Transgender' Issues,Christopher Ott letter disputes Sept 8 article on campaign by transsexuals for respect (S),Opinion,1996-09-11,/1996/09/11/opinion/l-separating-gay-and-transgender-issues-283193.html?searchResultPosition=423,Life
23,1121,16,Transsexuals and Law,David B Cruz letter disputes Stephen H Miller's Sept 11 letter on states' recognition of male-to-female transexual marriages (S),Opinion,1996-09-16,/1996/09/16/opinion/l-transsexuals-and-law-321583.html?searchResultPosition=25,Life
24,1123,18,Plea for the 'Transgendered',,New York,1996-12-02,/1996/12/02/nyregion/plea-for-the-transgendered.html?searchResultPosition=32,US New
25,1141,36,A Rebel Whose Dolls Embodied Her Demons,"Article by Nan Goldin on works of late transsexual artist Greer Lankton, whose art featured life-size dolls; photos (L)",Arts,1996-12-22,/1996/12/22/arts/a-rebel-whose-dolls-embodied-her-demons.html?searchResultPosition=123,Arts
