,Date,Category,Section,Headline,Subheader,Term,URL
0,1981-05-22,Arts,Movies,BEVARE! BEVARE! IT'S LUGOSI,Fake case studies of transsexual and transvestite.,Transsexual,/1981/05/22/movies/bevare-bevare-it-s-lugosi.html?searchResultPosition=148
1,1983-04-16,US New,U.S.,TRANSSEXUAL CONVICT WINS,,Transsexual,/1983/04/16/us/transsexual-convict-wins.html?searchResultPosition=6
2,1983-09-27,US New,U.S.,Transsexual Sues for Old Job,,Transsexual,/1983/09/27/us/transsexual-sues-for-old-job.html?searchResultPosition=10
3,1983-10-11,US New,U.S.,AROUND THE NATION; Transsexual's Marriage Challenged in Texas,,Transsexual,/1983/10/11/us/around-the-nation-transsexual-s-marriage-challenged-in-texas.html?searchResultPosition=7
4,1983-12-29,US New,U.S.,JUDGE TELLS EASTERN AIRLINES TO REHIRE TRANSSEXUAL PILOT,,Transsexual,/1983/12/29/us/judge-tells-eastern-airlines-to-rehire-transsexual-pilot.html?searchResultPosition=21
5,1985-07-09,US New,New York,Transsexual Loses Election,,Transsexual,/1985/07/09/nyregion/transsexual-loses-election.html?searchResultPosition=5
6,1985-07-14,US New,Connecticut,TRANSSEXUAL PLANS FUTURE IN LEGION,"THE American Legion has not seen the last of its well-publicized transsexual, Bridgette Poi.",Transsexual,/1985/07/14/nyregion/transsexual-plans-future-in-legion.html?searchResultPosition=9
7,1986-08-27,Misc,Obituaries,HARRY BENJAMIN DIES AT 101; SPECIALIST IN TRANSSEXUALISM,,Transsexual,/1986/08/27/obituaries/harry-benjamin-dies-at-101-specialist-in-transsexualism.html?searchResultPosition=4
8,1989-10-29,Arts,Books,'Garments the Living Wear',"In this transvestite-transsexual comedy of gay mannerism, a drawing room extravaganza collides with a riff on the Southern gospel tradition.",Transsexual,/1989/10/29/books/garments-the-living-wear.html?searchResultPosition=142
9,1991-12-15,Arts,Book Review,Dragtime,"VESTED INTERESTS

Cross-Dressing & Cultural Anxiety.
By Marjorie Garber.
Illustrated. 443 pp. New York: Routledge. $35.",Other,/1991/12/15/books/dragtime.html?searchResultPosition=242
10,1992-01-24,Arts,Books,Books of The Times; Why Transvestites Make Other People Nervous,,Other,/1992/01/24/books/books-of-the-times-why-transvestites-make-other-people-nervous.html?searchResultPosition=249
11,1994-07-01,Arts,Theater,THEATER REVIEW;A Transvestite's Life In a One-Person Show,,Other,/1994/07/01/theater/theater-review-a-transvestite-s-life-in-a-one-person-show.html?searchResultPosition=217
12,1994-08-07,Arts,Movies,FILM; Selling a Transvestite Musical Set in the Outback,,Other,/1994/08/07/movies/film-selling-a-transvestite-musical-set-in-the-outback.html?searchResultPosition=121
13,1995-06-18,Misc,The City,"NEIGHBORHOOD REPORT: MIDTOWN;
The Perilous Times of Transgender Youth",His mother wouldn't recognize him if they passed each another on the street.,Transgender,/1995/06/18/nyregion/neighborhood-report-midtown-the-perilous-times-of-transgender-youth.html?searchResultPosition=3
14,1995-06-18,Misc,The City,"NEIGHBORHOOD REPORT: MIDTOWN;
The Perilous Times of Transgender Youth",His mother wouldn't recognize him if they passed each another on the street.,Transgender,/1995/06/18/nyregion/neighborhood-report-midtown-the-perilous-times-of-transgender-youth.html?searchResultPosition=59
15,1995-06-22,US New,New York,NEW JERSEY DAILY BRIEFING; Transsexual Indicted in Murder,,Transsexual,/1995/06/22/nyregion/new-jersey-daily-briefing-transsexual-indicted-in-murder.html?searchResultPosition=8
16,1995-07-30,US New,New York,Transgender Community Must Cope With Bigotry,,Transgender,/1995/07/30/nyregion/l-transgender-community-must-cope-with-bigotry-260095.html?searchResultPosition=10
17,1995-07-30,US New,New York,Transgender Community Must Cope With Bigotry,,Transgender,/1995/07/30/nyregion/l-transgender-community-must-cope-with-bigotry-250495.html?searchResultPosition=9
18,1996-04-14,US New,New York,NEIGHBORHOOD REPORT: MIDTOWN;Transsexuals' Dual Risk of AIDS,,Transsexual,/1996/04/14/nyregion/neighborhood-report-midtown-transsexuals-dual-risk-of-aids.html?searchResultPosition=70
19,1996-09-11,Misc,Opinion,Separating Gay and 'Transgender' Issues,Stephen H Miller comments on Sept 8 article on campaign by transsexuals for respect (S),Transsexual,/1996/09/11/opinion/l-separating-gay-and-transgender-issues-283185.html?searchResultPosition=416
20,1996-09-11,Misc,Opinion,Separating Gay and 'Transgender' Issues,Christopher Ott letter disputes Sept 8 article on campaign by transsexuals for respect (S),Transsexual,/1996/09/11/opinion/l-separating-gay-and-transgender-issues-283193.html?searchResultPosition=7
21,1996-09-11,Misc,Opinion,Separating Gay and 'Transgender' Issues,Stephen H Miller comments on Sept 8 article on campaign by transsexuals for respect (S),Transsexual,/1996/09/11/opinion/l-separating-gay-and-transgender-issues-283185.html?searchResultPosition=8
