,Headline,Subheader,Section,Date,URL
0,"Gay Pakistanis, Still in Shadows, Seek Acceptance","A support group in Lahore for lesbian, gay, bisexual and transgender Pakistanis aims to give a safe space to members as more try to gain family support, even in a climate of religious conservatism.",Asia Pacific,11/04/2012,/2012/11/04/world/asia/gays-in-pakistan-move-cautiously-to-gain-acceptance.html?searchResultPosition=5
1,"Ethel Person, Who Studied Sexual Fantasies, Dies at 77","Dr. Person was a psychiatrist who examined what motivates transsexuals and transvestites, and argued that people shaped their lives by trying to live out their desires.",New York,10/22/2012,/2012/10/22/nyregion/ethel-person-who-studied-sexual-fantasies-dies-at-77.html?searchResultPosition=7
2,Malaysian Court Rejects Challenge to Cross-Dressing Ban,"An application to review an Islamic law that bars Muslim men from dressing as women was rejected on Thursday, raising fears that transgender people could face increasing prosecutions.",Asia Pacific,10/12/2012,/2012/10/12/world/asia/malaysian-court-rejects-challenge-to-cross-dressing-ban.html?searchResultPosition=9
3,‘Little Girl’ Review: Growing Up and Seeking Peace,This sensitive documentary by the French filmmaker Sébastien Lifshitz naturalistically explores the struggles of a 7-year-old transgender girl.,Movies,09/16/2021,/2021/09/16/movies/little-girl-review.html?searchResultPosition=13
4,Virginia School Board to Pay $1.3 Million in Transgender Student’s Suit,"Gavin Grimm sued the Gloucester County, Va., school board after he was barred from using the boys’ bathroom. The dispute put him at the center of a debate over transgender rights.",U.S.,08/30/2021,/2021/08/30/us/gavin-grimm-transgender-lawsuit.html?searchResultPosition=15
5,It’s Never Too Late to Follow Your Spiritual Calling,"After coming out as a transgender woman more than two years ago, Vica Steel never dreamed of forging a path to church leadership. Until now.",Travel,09/14/2021,/2021/09/14/travel/transgender-woman-church.html?searchResultPosition=16
6,‘Gender Alchemy’ Is Transforming Art for the 21st Century,"With the growing visibility of gender-nonconforming and transgender people, the scope of feminism is fast evolving. Now two major museum shows in California explore the impact on art.",Art & Design,09/08/2021,/2021/09/08/arts/design/feminist-transgender-nonbinary-art.html?searchResultPosition=18
7,Trans Rights and Gender Identity,"In “Trans: When Ideology Meets Reality,” Helen Joyce argues that sex is not just a social construct.",Book Review,09/07/2021,/2021/09/07/books/review/trans-helen-joyce.html?searchResultPosition=20
8,"Since Suicide, More Resources for Transgender and Gay Students","Rutgers University has rolled out more specialized housing options and other resources for its gay, lesbian, bisexual and transgender students in the wake of Tyler Clementi’s death.",New York,09/22/2012,/2012/09/22/nyregion/after-clementis-suicide-rutgers-embraces-its-gay-and-transgender-students.html?searchResultPosition=23
9,Transgender Woman Settles Suit Against Two Organizations,"Lana Lawless, the transgender woman who sued the L.P.G.A. and the Long Drivers of America last October challenging their rule that competitors be “female at birth,” has settled her case, her lawyer said.",Golf,05/04/2011,/2011/05/04/sports/golf/04sportsbriefs-TRANSGENDERW_BRF.html?searchResultPosition=26
10,"For Transgender Detainees, a Jail Policy Offers Some Security","Cook County Jail has instituted a new policy for transgender detainees, which includes a panel that determines whether they should be housed with men or women.",U.S.,12/23/2011,/2011/12/23/us/for-transgender-detainees-a-jail-policy-offers-some-security.html?searchResultPosition=27
